Päivämäärä;Auroransilta;Eteläesplanadi;Huopalahti (asema);Kaisaniemi/Eläintarhanlahti;Kaivokatu;Kulosaaren silta et.;Kulosaaren silta po. ;Kuusisaarentie;Käpylä - Pohjoisbaana;Lauttasaaren silta eteläpuoli;Merikannontie;Munkkiniemen silta eteläpuoli;Munkkiniemi silta pohjoispuoli;Heperian puisto/Ooppera;Pitkäsilta itäpuoli;Pitkäsilta länsipuoli;Lauttasaaren silta pohjoispuoli;Ratapihantie;Viikintie;Baana
ke 9 tammi 2019 21:00;8;4;9;8;12;0;4;9;11;23;8;10;5;16;11;5;;16;4;13
ke 9 tammi 2019 22:00;2;1;4;1;4;2;7;1;3;27;8;8;1;12;7;2;;4;1;12
ke 9 tammi 2019 23:00;3;3;1;3;4;1;1;3;1;3;0;1;1;3;3;2;;3;1;3
to 10 tammi 2019 00:00;1;0;0;0;2;0;2;1;0;2;0;0;0;3;1;3;;2;0;1
to 10 tammi 2019 01:00;0;0;1;1;0;0;1;0;1;3;0;0;0;0;4;1;;3;0;4
to 10 tammi 2019 02:00;1;0;0;0;0;3;1;0;5;0;0;0;0;8;1;0;;5;0;1
to 10 tammi 2019 03:00;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;;0;0;0
to 10 tammi 2019 04:00;0;0;6;1;2;3;3;0;9;0;0;0;0;12;2;0;;9;0;2
to 10 tammi 2019 05:00;0;1;8;5;5;3;5;2;7;11;2;3;1;5;7;2;;6;1;11
to 10 tammi 2019 06:00;17;3;45;25;18;7;24;19;41;45;17;20;10;27;15;8;;83;12;41
to 10 tammi 2019 07:00;66;7;86;41;34;8;61;46;73;150;82;71;24;74;31;13;;115;24;114
to 10 tammi 2019 08:00;94;24;97;69;67;23;76;90;80;176;78;111;23;161;75;12;;139;35;167
to 10 tammi 2019 09:00;46;21;31;31;65;7;35;50;27;98;48;54;10;94;42;10;;32;19;97
to 10 tammi 2019 10:00;10;12;13;9;31;3;19;20;10;28;14;9;5;36;27;15;;19;3;30
to 10 tammi 2019 11:00;8;5;8;11;32;5;11;10;5;31;11;12;8;23;25;9;;12;0;25
to 10 tammi 2019 12:00;17;12;11;14;29;3;10;11;11;26;11;9;10;22;19;14;;10;1;19
to 10 tammi 2019 13:00;10;15;11;9;32;4;9;15;5;26;11;12;7;22;19;18;;12;5;28
to 10 tammi 2019 14:00;18;8;19;17;30;3;10;15;12;45;8;10;7;30;24;13;;19;8;32
to 10 tammi 2019 15:00;41;20;46;33;56;16;31;40;43;75;45;39;26;64;38;26;;67;22;85
to 10 tammi 2019 16:00;72;30;93;60;64;13;49;42;71;187;80;74;29;119;71;19;;93;15;145
